age,workclass,fnlwgt,education,education_num,married_status,occupation,relationship,race,sex,capital_gain,capital_loss,hrs_pr_week,native_country,income
28,Private,96020,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
65,Self-emp-not-inc,538099,Bachelors,13,married,Farming-fishing,Husband,White,Male,0,0,30,United-States,0
29,Private,383745,high-school,9,married,Machine-op-inspct,Husband,White,Male,0,1887,30,United-States,1
23,Private,199884,high-school,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0
21,Private,126568,high-school,9,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,0
32,Private,285946,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0
30,Private,195602,school,8,married,Farming-fishing,Husband,White,Male,0,0,44,United-States,0
30,Local-gov,235271,Bachelors,13,married,Protective-serv,Husband,White,Male,0,0,40,United-States,1
39,Private,216256,Bachelors,13,married,Exec-managerial,Husband,White,Male,0,0,60,Italy,1
21,Local-gov,596776,higher,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,Guatemala,0
36,Private,254493,higher,10,married,Sales,Husband,White,Male,0,0,44,United-States,0
28,Private,201844,high-school,9,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,40,Mexico,0
33,State-gov,296282,high-school,9,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
44,Private,118059,Doctorate,16,married,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
18,Private,179597,high-school,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,0
46,Private,174995,high-school,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0
29,Private,40083,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Canada,0
53,Private,350131,Bachelors,13,married,Prof-specialty,Wife,White,Female,0,0,48,United-States,1
47,Private,195963,school,4,Never-married,Transport-moving,Not-in-family,Other,Male,0,0,48,Puerto-Rico,0
65,Private,89681,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,0
40,Private,315321,high-school,9,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,625,52,United-States,0
59,Private,233312,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
50,Private,197322,school,7,married,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
52,Private,199688,school,6,married,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,0
59,Self-emp-inc,187502,higher,10,married,Craft-repair,Husband,White,Male,0,0,50,United-States,1
50,Private,135465,Bachelors,13,married,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
70,Private,90245,high-school,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,5,United-States,0
47,Private,205730,high-school,9,married,Craft-repair,Husband,White,Male,0,0,56,United-States,1
24,Private,192766,high-school,9,married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
34,Private,97355,higher,10,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,60,United-States,0
19,Private,198700,higher,10,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,20,United-States,0
36,Private,162424,high-school,9,married,Craft-repair,Husband,White,Male,0,0,45,United-States,0
37,Self-emp-not-inc,245372,Bachelors,13,Married-spouse-absent,Tech-support,Not-in-family,White,Male,0,0,15,United-States,0
34,Self-emp-inc,80249,higher,10,married,Farming-fishing,Husband,White,Male,0,0,72,United-States,0
37,Private,129263,higher,10,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,60,United-States,0
44,Federal-gov,109414,Bachelors,13,married,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,1977,40,Philippines,1
35,Private,153926,high-school,9,married,Prof-specialty,Wife,Black,Female,0,0,40,United-States,0
35,Private,239755,higher,10,Never-married,Sales,Unmarried,White,Male,0,0,50,United-States,0
25,Private,306666,higher,10,married,Sales,Husband,Black,Male,0,0,45,United-States,0
35,Private,33975,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,1
68,Private,178066,school,5,married,Craft-repair,Husband,White,Male,1797,0,24,United-States,0
64,Private,21174,high-school,9,married,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
66,Private,236879,school,1,Married-spouse-absent,Priv-house-serv,Other-relative,White,Female,0,0,40,Guatemala,0
59,Private,230039,high-school,9,Never-married,Exec-managerial,Unmarried,White,Female,0,625,38,United-States,0
27,Private,315640,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,20,China,0
22,Private,313786,high-school,9,Married-spouse-absent,Prof-specialty,Other-relative,Black,Female,0,0,40,United-States,0
59,Private,108496,Masters,14,married,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
52,Self-emp-not-inc,156882,higher,10,married,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
32,Self-emp-inc,103078,Bachelors,13,married,Sales,Husband,White,Male,0,0,40,United-States,0
30,Private,77143,higher,10,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,25,United-States,0
23,Private,104443,higher,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
22,Private,32732,higher,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,0
47,Local-gov,162187,higher,10,married,Transport-moving,Husband,White,Male,0,1887,40,United-States,1
47,Local-gov,198660,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
75,Self-emp-not-inc,242108,high-school,9,Married-spouse-absent,Sales,Not-in-family,White,Male,2346,0,15,United-States,0
56,Private,178033,higher,10,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,4416,0,60,United-States,0
34,Private,143582,higher,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,35,Japan,0
34,Private,340917,higher,15,married,Exec-managerial,Husband,White,Male,2829,0,50,United-States,0
29,Private,99297,high-school,9,married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Cambodia,0
33,Self-emp-not-inc,295621,Bachelors,13,married,Prof-specialty,Husband,Black,Male,0,0,25,United-States,1
23,Private,211601,higher,10,married,Exec-managerial,Wife,Black,Female,0,0,40,United-States,0
55,Private,147989,higher,10,married,Craft-repair,Husband,White,Male,5013,0,52,United-States,0
20,Private,107658,higher,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,10,Canada,0
32,Private,137184,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
39,Private,29814,high-school,9,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
33,Private,38848,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
25,Self-emp-inc,90752,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,0
28,Private,219863,higher,12,married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
21,Private,411068,higher,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,0
19,Private,216413,higher,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
27,Private,180262,higher,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,337693,school,3,Never-married,Other-service,Own-child,White,Female,0,0,40,El-Salvador,0
27,Self-emp-not-inc,30244,high-school,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,80,United-States,0
50,State-gov,137815,Bachelors,13,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
28,Private,298510,higher,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
25,Private,98155,higher,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
32,Private,229636,higher,12,married,Handlers-cleaners,Husband,White,Male,5013,0,60,United-States,0
53,Private,321865,Masters,14,married,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
32,Private,137421,high-school,9,Married-spouse-absent,Other-service,Other-relative,Other,Male,0,0,40,Mexico,0
42,Private,29702,high-school,9,married,Craft-repair,Husband,White,Male,0,0,42,United-States,1
32,Private,324386,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
18,Private,74054,school,7,Never-married,Sales,Own-child,Other,Female,0,0,20,United-States,0
54,Private,222020,school,6,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,70,United-States,0
31,Private,33117,higher,10,married,Craft-repair,Husband,White,Male,0,0,45,United-States,1
27,Private,247978,high-school,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
37,Private,211168,higher,10,married,Tech-support,Wife,White,Female,0,0,35,United-States,0
19,Private,231972,school,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
47,State-gov,199512,Bachelors,13,married,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
44,Self-emp-inc,103643,high-school,9,married,Exec-managerial,Husband,White,Male,5013,0,60,Greece,0
41,Private,267252,higher,10,married,Machine-op-inspct,Husband,Black,Male,0,1902,40,United-States,1
65,Private,180280,higher,10,married,Exec-managerial,Wife,White,Female,0,0,40,United-States,0
26,Private,152240,higher,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
36,Private,116445,high-school,9,Married-spouse-absent,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
48,Private,233511,high-school,9,married,Transport-moving,Husband,White,Male,0,0,50,United-States,1
52,Private,204447,high-school,9,married,Machine-op-inspct,Husband,White,Male,4386,0,40,United-States,1
38,Local-gov,51240,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
29,Private,251905,higher,12,married,Craft-repair,Husband,White,Male,0,0,45,United-States,0
49,Private,423222,Masters,14,married,Sales,Husband,White,Male,0,0,50,United-States,1
52,Self-emp-not-inc,77336,higher,11,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
44,Private,184527,Bachelors,13,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,4934,0,45,United-States,1
42,Local-gov,100793,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
23,Private,119051,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Puerto-Rico,0
53,Private,58985,higher,10,married,Prof-specialty,Wife,White,Female,0,0,24,United-States,0
25,Private,193379,higher,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,0
25,Private,64671,school,2,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,0
61,Private,255978,high-school,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,50,United-States,0
41,Private,192602,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
23,State-gov,386568,higher,10,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,0
46,Private,138069,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
58,Self-emp-not-inc,25124,higher,11,married,Farming-fishing,Husband,White,Male,0,2377,65,United-States,0
32,Private,399088,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0
57,State-gov,183657,higher,10,married,Prof-specialty,Husband,Black,Male,0,0,35,United-States,1
29,Private,75648,higher,10,married,Craft-repair,Husband,White,Male,0,0,55,United-States,0
31,Self-emp-not-inc,44503,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
19,Private,53355,school,7,Never-married,Sales,Not-in-family,White,Male,0,0,12,United-States,0
51,Private,136080,high-school,9,Married-spouse-absent,Sales,Other-relative,White,Female,0,0,31,United-States,0
35,Private,77820,higher,10,married,Craft-repair,Husband,White,Male,0,0,60,United-States,0
19,Private,197377,higher,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,0
55,Private,67450,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,England,0
58,Self-emp-inc,113806,Bachelors,13,married,Exec-managerial,Husband,White,Male,7688,0,30,United-States,1
26,Private,139116,higher,10,Never-married,Other-service,Own-child,Black,Female,0,0,50,United-States,0
50,Private,148121,higher,10,Married-spouse-absent,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0
56,Local-gov,160829,high-school,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,46,United-States,0
54,Private,283281,school,4,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,50,United-States,0
43,Self-emp-not-inc,350387,high-school,9,married,Craft-repair,Husband,White,Male,0,0,60,United-States,0
50,Private,108446,higher,10,married,Sales,Husband,White,Male,0,0,40,United-States,0
40,Private,142657,higher,11,married,Craft-repair,Husband,Black,Male,0,0,45,United-States,0
65,Self-emp-not-inc,316093,higher,15,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,1668,40,United-States,0
48,Private,329778,high-school,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,40,United-States,0
30,Private,340917,higher,10,married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
31,Private,361497,school,4,Never-married,Farming-fishing,Other-relative,White,Male,0,0,60,Portugal,0
71,Private,217971,school,5,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,13,United-States,0
47,Private,275163,high-school,9,married,Craft-repair,Husband,White,Male,0,0,45,United-States,0
53,Private,127749,high-school,9,married,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
60,Private,24215,school,6,Married-spouse-absent,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,0
28,Private,216479,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
23,Private,374474,high-school,9,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,0
55,Private,135339,Bachelors,13,married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,1
22,Private,216134,higher,10,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States,0
34,Private,185063,higher,10,married,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,1
18,Private,240183,high-school,9,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
25,Private,219897,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,Canada,0
43,Private,216685,high-school,9,married,Prof-specialty,Wife,White,Female,0,0,35,United-States,0
34,Private,122616,higher,10,married,Tech-support,Husband,White,Male,0,0,84,United-States,1
31,Private,186787,high-school,9,Never-married,Craft-repair,Own-child,White,Male,0,0,42,United-States,0
47,Private,183013,high-school,9,married,Other-service,Husband,White,Male,0,0,40,United-States,0
18,Private,39222,school,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
21,Private,197050,higher,10,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,0
56,Self-emp-not-inc,170217,high-school,9,married,Farming-fishing,Husband,White,Male,0,0,45,United-States,0
38,Private,80771,Bachelors,13,married,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
44,Private,291566,high-school,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,60,United-States,0
90,Private,171956,higher,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,Puerto-Rico,0
36,Private,415578,higher,10,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
39,Private,218490,higher,15,married,Prof-specialty,Husband,White,Male,15024,0,60,United-States,1
90,Private,313986,high-school,9,married,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
46,Private,149218,Bachelors,13,married,Sales,Husband,White,Male,0,0,40,United-States,1
19,Private,223648,high-school,9,Never-married,Sales,Not-in-family,White,Male,4101,0,48,United-States,0
30,Private,296538,school,5,Married-spouse-absent,Farming-fishing,Own-child,White,Male,0,0,30,United-States,0
31,Private,229732,high-school,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,50,United-States,0
27,Private,209292,high-school,9,Never-married,Sales,Other-relative,Black,Female,0,0,32,Dominican-Republic,0
26,Private,321629,high-school,9,Never-married,Prof-specialty,Unmarried,White,Female,0,0,16,United-States,0
46,Private,37353,higher,10,married,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,0
42,Private,40151,higher,11,married,Other-service,Husband,White,Male,0,0,30,United-States,0
63,Self-emp-not-inc,33487,school,4,married,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41,Private,37997,school,8,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,84,United-States,1
28,Private,314649,higher,10,married,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,0
48,Private,167472,higher,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
22,Self-emp-not-inc,47541,higher,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,0
59,Private,200700,Bachelors,13,married,Craft-repair,Husband,Black,Male,0,0,48,United-States,1
69,Private,156387,high-school,9,married,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
25,Private,240676,higher,10,Married-spouse-absent,Tech-support,Own-child,White,Female,0,0,40,United-States,0
19,Private,201743,higher,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
20,Private,280714,higher,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
72,Private,103990,Masters,14,married,Other-service,Husband,White,Male,0,0,12,United-States,0
44,Private,202565,high-school,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,0
27,Private,110073,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,England,1
40,Private,291300,school,7,married,Machine-op-inspct,Husband,White,Male,0,0,40,Puerto-Rico,0
51,Local-gov,33863,Masters,14,married,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
36,Local-gov,174640,higher,11,Never-married,Protective-serv,Not-in-family,Black,Female,0,0,60,United-States,1
40,Private,310101,higher,10,Married-spouse-absent,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
33,Private,373432,higher,10,Married-spouse-absent,Craft-repair,Own-child,White,Male,0,0,60,United-States,0
46,Private,394860,high-school,9,married,Other-service,Husband,White,Male,0,0,40,United-States,0
53,Private,250034,Bachelors,13,married,Exec-managerial,Husband,Black,Male,0,0,50,United-States,1
41,Self-emp-inc,240900,school,7,married,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
27,State-gov,152560,higher,15,married,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
33,Private,226624,high-school,9,married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
45,Private,176947,school,4,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
29,Private,119429,high-school,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
39,Private,237943,high-school,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,1726,40,United-States,0
20,Private,146879,high-school,9,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,0
17,Private,61838,school,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
23,Private,122244,higher,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,0
46,Local-gov,99971,high-school,9,married,Protective-serv,Husband,White,Male,0,0,56,United-States,1
32,Private,230484,school,4,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,35,United-States,0
29,Private,238073,higher,10,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,Columbia,0
40,Private,170214,high-school,9,married,Transport-moving,Husband,White,Male,0,0,40,United-States,1
35,Local-gov,223242,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
35,Private,187119,Bachelors,13,Married-spouse-absent,Sales,Not-in-family,White,Female,0,1980,65,United-States,0
30,Private,164309,high-school,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,0
21,Private,27049,higher,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,0
79,Private,172220,school,4,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,2964,0,30,United-States,0
45,State-gov,183710,high-school,9,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,0
44,Private,193537,school,5,Never-married,Priv-house-serv,Unmarried,White,Female,0,0,50,Puerto-Rico,0
44,Private,166740,higher,11,married,Tech-support,Husband,White,Male,0,0,45,United-States,0
45,Private,28035,higher,10,Never-married,Farming-fishing,Other-relative,White,Male,0,0,50,United-States,0
18,Private,101173,high-school,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,35,United-States,0
27,Private,72887,high-school,9,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States,0
65,Private,191380,school,6,married,Prof-specialty,Husband,White,Male,9386,0,50,United-States,1
27,Private,194759,higher,12,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
48,Private,172695,higher,11,Married-spouse-absent,Other-service,Own-child,White,Female,0,0,40,United-States,0
26,Local-gov,80485,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,0
38,Private,185848,Masters,14,married,Exec-managerial,Husband,White,Male,99999,0,70,United-States,1
41,Private,203943,school,8,married,Protective-serv,Husband,Black,Male,0,0,40,United-States,0
29,State-gov,356089,Bachelors,13,married,Exec-managerial,Husband,White,Male,7688,0,40,United-States,1
39,Private,153949,high-school,9,married,Other-service,Husband,White,Male,0,0,30,United-States,0
32,Private,115854,higher,10,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,0,0,41,United-States,0
31,Private,197058,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,2597,0,45,United-States,0
45,Private,129387,higher,12,Married-spouse-absent,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
37,Private,73199,high-school,9,married,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
29,Local-gov,194869,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
34,Private,142897,Masters,14,married,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,35,Taiwan,1
61,Federal-gov,95680,higher,12,married,Exec-managerial,Husband,Asian-Pac-Islander,Male,3103,0,40,United-States,1
35,Private,182203,higher,10,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,0
40,Private,352080,higher,10,married,Craft-repair,Husband,Black,Male,0,0,40,United-States,1
35,Private,332588,high-school,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,30,United-States,0
33,Self-emp-not-inc,73585,school,7,married,Craft-repair,Husband,White,Male,0,0,50,United-States,0
38,Private,187870,Bachelors,13,married,Craft-repair,Husband,White,Male,0,0,40,United-States,1
33,Local-gov,120508,Bachelors,13,Married-spouse-absent,Protective-serv,Unmarried,White,Female,0,0,60,Germany,0
49,Private,32212,high-school,9,married,Exec-managerial,Wife,White,Female,0,0,43,United-States,0
46,Private,219021,high-school,9,married,Transport-moving,Husband,White,Male,15024,0,44,United-States,1
41,State-gov,176155,higher,11,married,Tech-support,Husband,White,Male,0,0,40,United-States,0
22,Private,190483,higher,10,Married-spouse-absent,Sales,Own-child,White,Female,0,0,48,Iran,0
42,State-gov,184105,higher,11,married,Other-service,Husband,White,Male,0,0,45,United-States,1
41,Private,169473,high-school,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
57,Local-gov,118481,Bachelors,13,married,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1
37,Private,258289,high-school,9,married,Transport-moving,Husband,White,Male,0,0,40,United-States,0
47,Private,341471,high-school,9,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,0,0,4,United-States,0
43,Private,188808,Masters,14,married,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
29,Local-gov,181434,Bachelors,13,married,Prof-specialty,Husband,White,Male,7298,0,40,United-States,1
54,Private,183248,high-school,9,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,0
25,Private,265618,high-school,9,Married-spouse-absent,Protective-serv,Own-child,Black,Male,0,0,40,United-States,0
38,Private,218729,high-school,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,0,25,United-States,0
48,Self-emp-not-inc,209146,high-school,9,married,Transport-moving,Husband,White,Male,0,0,60,United-States,0
23,Private,86939,high-school,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,0
29,Private,231554,higher,10,married,Adm-clerical,Husband,Black,Male,0,0,50,United-States,0
36,Private,123151,school,7,married,Craft-repair,Husband,White,Male,0,0,60,United-States,0
47,Private,176893,high-school,9,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,8614,0,44,United-States,1
40,Private,117860,high-school,9,Married-spouse-absent,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
24,Private,94395,higher,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
54,Private,240542,higher,10,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,48,United-States,0
31,Private,500002,school,2,married,Farming-fishing,Husband,White,Male,0,0,45,Mexico,0
36,Self-emp-not-inc,109133,high-school,9,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
